description,title,result_code,result_id,Topic,input_text
"The Climate Security Programming Dashboard for Climate Finance (CSPDxCF) is a comprehensive tool designed for initial conflict sensitive assessments and guidance for projects funded by the Green Climate Fund (GCF) along with other climate funds and financial institutions. In the project design phase, CSPD assists Accredited Entities (AEs) and Direct Entities (DEs) in identifying operational risks and entry points for peace-informed action, providing tailored guidance on integrating climate strategies with security programming. Additionally, CSPD enhances AEs and DEs due diligence and risk management, optimizing project design in fragile and conflict-affected settings.",Climate Security Programming Dashboard for Climate Finance (CSPDxCF) to assess conflict sensitivity of proposals for international financial institutions and climate funds,5275,13172,23,"Climate Security Programming Dashboard for Climate Finance (CSPDxCF) to assess conflict sensitivity of proposals for international financial institutions and climate funds The Climate Security Programming Dashboard for Climate Finance (CSPDxCF) is a comprehensive tool designed for initial conflict sensitive assessments and guidance for projects funded by the Green Climate Fund (GCF) along with other climate funds and financial institutions. In the project design phase, CSPD assists Accredited Entities (AEs) and Direct Entities (DEs) in identifying operational risks and entry points for peace-informed action, providing tailored guidance on integrating climate strategies with security programming. Additionally, CSPD enhances AEs and DEs due diligence and risk management, optimizing project design in fragile and conflict-affected settings."
"The methodology is applicable to measures that reduce anaerobic decomposition of organic matter in rice-cropping soils. Such measures include changing the water regime during the cultivation period from continuously to intermittently flooded conditions and/or a shortened period of flooded conditions, using the alternate wetting and drying method, adopting aerobic rice cultivation methods, and switching from transplanted to direct-seeded rice (DSR). This methodology can be applied to large and small-scale or micro-scale projects or PoAs.",Methodology for methane emission reduction by adjusted water management practice in rice cultivation,5195,13167,14,"Methodology for methane emission reduction by adjusted water management practice in rice cultivation The methodology is applicable to measures that reduce anaerobic decomposition of organic matter in rice-cropping soils. Such measures include changing the water regime during the cultivation period from continuously to intermittently flooded conditions and/or a shortened period of flooded conditions, using the alternate wetting and drying method, adopting aerobic rice cultivation methods, and switching from transplanted to direct-seeded rice (DSR). This methodology can be applied to large and small-scale or micro-scale projects or PoAs."
"The Cost-Impact Analysis for Emission Reduction Projects (COMPARE) is a tool developed by UNIQUE Forestry and Land Use in conjunction with International Rice Research Institute. This tool is a Microsoft® Excel workbook with built-in formulas and functions that allow automatic calculation of Cost Benefit Analysis indicators and GHG emissions according to the user's defined inputs._x000D_
_x000D_
This Excel Tool is designed to provide a Cost Benefit Assessment showing the economic and carbon impacts of different rice management practices at a regional level in Vietnam. The tool is designed to cater to different user types and allows full flexibility to adapt the tool for advanced users. It enables the user to estimate the benefits, costs, and greenhouse gas savings in a ""Business As Usual"" (BAU) scenario (broadly reflecting the current mix of rice production methods) and a “Project” scenario (reflecting a desired mix of rice production methods).",Cost-Impact Analysis for Emission Reduction Projects (COMPARE) tool to inform low-emission investment planning for rice-based production systems in Vietnam,5193,13165,14,"Cost-Impact Analysis for Emission Reduction Projects (COMPARE) tool to inform low-emission investment planning for rice-based production systems in Vietnam The Cost-Impact Analysis for Emission Reduction Projects (COMPARE) is a tool developed by UNIQUE Forestry and Land Use in conjunction with International Rice Research Institute. This tool is a Microsoft® Excel workbook with built-in formulas and functions that allow automatic calculation of Cost Benefit Analysis indicators and GHG emissions according to the user's defined inputs._x000D_
_x000D_
This Excel Tool is designed to provide a Cost Benefit Assessment showing the economic and carbon impacts of different rice management practices at a regional level in Vietnam. The tool is designed to cater to different user types and allows full flexibility to adapt the tool for advanced users. It enables the user to estimate the benefits, costs, and greenhouse gas savings in a ""Business As Usual"" (BAU) scenario (broadly reflecting the current mix of rice production methods) and a “Project” scenario (reflecting a desired mix of rice production methods)."
"In response to  rangeland degradation, conventional practices involving exotic species like Acacia saligna and Atriplex nummularia have exacerbated ecological imbalances by endangering local flora and fauna and diminishing biodiversity. While developing the Tunisian National Strategy for Advancing Feed and Forage Resources in Tunisia, ICARDA proposed innovative solutions centered on the reintroduction of indigenous species. These were carefully selected to thrive in specific agroecological zones addressing key constraints, and which will be implemented by the Office of Livestock and Pastures and other national institutions. Drivers of loss of indigenous species planting include limited seed availability, lack of awareness, and entrenched institutional behavior. Therefore, our strategies involve genetic source scanning to match indigenous species with environmental conditions, raising awareness about indigenous species' benefits, and efforts to change institutional behavior. Additionally, we are exploring ways to enhance seed collection and multiplication. This approach revitalizes degraded rangelands, contributing significantly to climate change mitigation.",Unlocking indigenous plants as innovative solutions for restoring agro-ecological zones under changing climate in the dry areas,5176,13162,-1,"Unlocking indigenous plants as innovative solutions for restoring agro-ecological zones under changing climate in the dry areas In response to  rangeland degradation, conventional practices involving exotic species like Acacia saligna and Atriplex nummularia have exacerbated ecological imbalances by endangering local flora and fauna and diminishing biodiversity. While developing the Tunisian National Strategy for Advancing Feed and Forage Resources in Tunisia, ICARDA proposed innovative solutions centered on the reintroduction of indigenous species. These were carefully selected to thrive in specific agroecological zones addressing key constraints, and which will be implemented by the Office of Livestock and Pastures and other national institutions. Drivers of loss of indigenous species planting include limited seed availability, lack of awareness, and entrenched institutional behavior. Therefore, our strategies involve genetic source scanning to match indigenous species with environmental conditions, raising awareness about indigenous species' benefits, and efforts to change institutional behavior. Additionally, we are exploring ways to enhance seed collection and multiplication. This approach revitalizes degraded rangelands, contributing significantly to climate change mitigation."
This conceptual framework and guiding questions are developed to serve as a starting point for gender-sensitive analysis and selection of gender-specific and gender-transformative policies targeting Antimicrobial Use and Antimicrobial Resistance and how that affects different gender in agricultural settings.,Exploring Gender Dimensions in the Use and Resistance of Antimicrobials in Agricultural Policy: A Conceptual Framework for Understanding How Antimicrobial Use and Resistance Transmission Affects Different Genders in Agriculture,4985,13135,0,Exploring Gender Dimensions in the Use and Resistance of Antimicrobials in Agricultural Policy: A Conceptual Framework for Understanding How Antimicrobial Use and Resistance Transmission Affects Different Genders in Agriculture This conceptual framework and guiding questions are developed to serve as a starting point for gender-sensitive analysis and selection of gender-specific and gender-transformative policies targeting Antimicrobial Use and Antimicrobial Resistance and how that affects different gender in agricultural settings.
"The International Rice Research Institute in collaboration with the SeaSpray Labs is developed and introduced the Application Programming Interface (API) which source-selective and emission-adjusted GHG calculator for rice cropland and that enables the SECTOR tool to connect to other digital tools for calculating greenhouse gas (GHG) emissions. SECTOR offers a high range of flexibility in terms of sourcing emission and activity data, and in selecting a range of scales for aggregation. SECTOR can allow GHG emissions verification and quantification for monetizable carbon credits, as the rice sector carbon market develops in Vietnam. It is now being used by research and practitioners in climate change adaptation and mitigitation.",Application Programming Interface (API) enabling the Source-selective and Emission-adjusted Greenhouse Gas Calculator for Cropland (SECTOR) data tool for rice cropland to better calculate greenhouse gas (GHG) emissions,4931,13125,8,"Application Programming Interface (API) enabling the Source-selective and Emission-adjusted Greenhouse Gas Calculator for Cropland (SECTOR) data tool for rice cropland to better calculate greenhouse gas (GHG) emissions The International Rice Research Institute in collaboration with the SeaSpray Labs is developed and introduced the Application Programming Interface (API) which source-selective and emission-adjusted GHG calculator for rice cropland and that enables the SECTOR tool to connect to other digital tools for calculating greenhouse gas (GHG) emissions. SECTOR offers a high range of flexibility in terms of sourcing emission and activity data, and in selecting a range of scales for aggregation. SECTOR can allow GHG emissions verification and quantification for monetizable carbon credits, as the rice sector carbon market develops in Vietnam. It is now being used by research and practitioners in climate change adaptation and mitigitation."
"Targeting Tools is a web-based Geospatial Information System (GIS) platform that houses a wide range of spatial datasets, both global and country-specific. It provides Land Similarity, Land Suitability, and Land Statistics tools for use on both desktop and web platforms._x000D_
The platform not only facilitates the visualization of datasets stored in its geodatabase but also supports user-uploaded raster format datasets. It enables various types of suitability or risk mapping analyses by combining different datasets._x000D_
Users are given the flexibility to establish their own criteria and thresholds to identify suitable areas. Moreover, these tools can be used to characterise the identified areas through the calculation of zonal statistics.  _x000D_
The tool allows for the integration of multi-dimensional datasets, including bio-physical (e.g. climate, soils, agro-ecology) as well as socio-economic (e.g. poverty, nutritional status, access to markets) data and thus for analyses along the different CGIAR impact areas.","Web Platform ""Targeting Tools"": user-friendly geographical information system tools for identifying suitable land areas",4898,13118,6,"Web Platform ""Targeting Tools"": user-friendly geographical information system tools for identifying suitable land areas Targeting Tools is a web-based Geospatial Information System (GIS) platform that houses a wide range of spatial datasets, both global and country-specific. It provides Land Similarity, Land Suitability, and Land Statistics tools for use on both desktop and web platforms._x000D_
The platform not only facilitates the visualization of datasets stored in its geodatabase but also supports user-uploaded raster format datasets. It enables various types of suitability or risk mapping analyses by combining different datasets._x000D_
Users are given the flexibility to establish their own criteria and thresholds to identify suitable areas. Moreover, these tools can be used to characterise the identified areas through the calculation of zonal statistics.  _x000D_
The tool allows for the integration of multi-dimensional datasets, including bio-physical (e.g. climate, soils, agro-ecology) as well as socio-economic (e.g. poverty, nutritional status, access to markets) data and thus for analyses along the different CGIAR impact areas."
"The Climate Security Observatory (CSO) is an online decision-making support tool providing robust, localized, and policy-relevant evidence on	how	exactly climate security risks	may	emerge across different geographic contexts. It aims to answer several	research	questions on how the  climate security nexus operates at the subnational level. To achieve this , the CSO performs a series of mixed-methods analyses (data-driven literature review, pathway analysis, social media issue mapping, governance coherence analysis, network analysis, spatial analysis, econometric analysis), before synthesizing outputs into an open-access online dashboard. Within the CSO, a module for decision making on displacement-related is being developed.",The CGIAR Climate Security Observatory - Displacement module,4820,13103,8,"The CGIAR Climate Security Observatory - Displacement module The Climate Security Observatory (CSO) is an online decision-making support tool providing robust, localized, and policy-relevant evidence on	how	exactly climate security risks	may	emerge across different geographic contexts. It aims to answer several	research	questions on how the  climate security nexus operates at the subnational level. To achieve this , the CSO performs a series of mixed-methods analyses (data-driven literature review, pathway analysis, social media issue mapping, governance coherence analysis, network analysis, spatial analysis, econometric analysis), before synthesizing outputs into an open-access online dashboard. Within the CSO, a module for decision making on displacement-related is being developed."
"Seven improved cultivars of Brachiaria and Guinea grasses along with local forages are being evaluated in multiple locations in Nepal involving farmers and other stakeholders, and best bet cultivars will be scaled for commercial fodder production. Evaluation of the forage cultivars is ongoing on station and performance of forage species/cultivars will be assessed by the farmers and other stakeholders visiting the experimental plots at different stages. The preferred cultivars will be identified for on-farm evaluation as outreach research activities. Use of the improved cultivars will lead to improved diets for dairy buffalo leading to improved productivity.","Improved Brachiaria and Guinea grass cultivars, suited to multiple locations in Nepal, for improved agronomic performance, animal nutrition and dairy buffalo performance",4626,13074,-1,"Improved Brachiaria and Guinea grass cultivars, suited to multiple locations in Nepal, for improved agronomic performance, animal nutrition and dairy buffalo performance Seven improved cultivars of Brachiaria and Guinea grasses along with local forages are being evaluated in multiple locations in Nepal involving farmers and other stakeholders, and best bet cultivars will be scaled for commercial fodder production. Evaluation of the forage cultivars is ongoing on station and performance of forage species/cultivars will be assessed by the farmers and other stakeholders visiting the experimental plots at different stages. The preferred cultivars will be identified for on-farm evaluation as outreach research activities. Use of the improved cultivars will lead to improved diets for dairy buffalo leading to improved productivity."
"Pig and beef cattle keepers in Son La province of NorthWest Vietnam rarely engage in best practice in pig and beef cattle production and marketing.  There are numerous reasons for this, a key one being lack of access to information.  To address this, we are developing a social behaviour change communication (SBCC) campaign that will share best practice messages on herd health, breeding, animal nutrition and marketing.  The campaign will be designed to reach livestock keepers of different genders (women and men) as well as ethnicities (primarily Thai and H'mong).  Currently the strategy for the campaign is being developed in conjunction with behaviour change specialists.","Social behaviour change communication (SBCC) campaign on best practices in beef and pig production and marketing, targeting women and men livestock keepers in North-west Vietnam.",4621,13070,-1,"Social behaviour change communication (SBCC) campaign on best practices in beef and pig production and marketing, targeting women and men livestock keepers in North-west Vietnam. Pig and beef cattle keepers in Son La province of NorthWest Vietnam rarely engage in best practice in pig and beef cattle production and marketing.  There are numerous reasons for this, a key one being lack of access to information.  To address this, we are developing a social behaviour change communication (SBCC) campaign that will share best practice messages on herd health, breeding, animal nutrition and marketing.  The campaign will be designed to reach livestock keepers of different genders (women and men) as well as ethnicities (primarily Thai and H'mong).  Currently the strategy for the campaign is being developed in conjunction with behaviour change specialists."
"The main purpose of this work is to develop and test artificial intelligence-based image recognition software for varietal identification. Artificial intelligence-based methods will be ground-truthed and compared to other methods commonly used for varietal identification, such as DNA fingerprinting and farmer recollection. The vision is to arrive at low-cost and scalable methods for varietal identification. The created algorithms will be included in the VarScout app and the user can use for varietal identification._x000D_
_x000D_
In 2023, great progress has been made and proof of principle has been established: AI-based image recognition models for varietal identification in wheat resulted in a precision close to 87.5%._x000D_
_x000D_
In 2024, data collection protocols for potato and sweetpotato where developed and implemented. An AI-model for varietal identification of potato varieties is being developed.","Artifical intelligence-based image recognition for accurate varietal identification to increase cost-effectiveness of data collection without compromising on data quality for farmers, extentionist, survey teams",4267,13063,18,"Artifical intelligence-based image recognition for accurate varietal identification to increase cost-effectiveness of data collection without compromising on data quality for farmers, extentionist, survey teams The main purpose of this work is to develop and test artificial intelligence-based image recognition software for varietal identification. Artificial intelligence-based methods will be ground-truthed and compared to other methods commonly used for varietal identification, such as DNA fingerprinting and farmer recollection. The vision is to arrive at low-cost and scalable methods for varietal identification. The created algorithms will be included in the VarScout app and the user can use for varietal identification._x000D_
_x000D_
In 2023, great progress has been made and proof of principle has been established: AI-based image recognition models for varietal identification in wheat resulted in a precision close to 87.5%._x000D_
_x000D_
In 2024, data collection protocols for potato and sweetpotato where developed and implemented. An AI-model for varietal identification of potato varieties is being developed."
"This Standard Operating Procedure (SOP) is designed for Excellence in Agronomy (EiA) Use Case teams with an interest in developing gender- and youth-responsive agronomic solutions. The SOP is a guide to help Use Case teams move from each step in their workflows when designing, validating, and piloting their Minimum Viable Products (MVPs) to ensure they can develop gender- and youth-responsive agronomic solutions by the end of their Use Case. This stepwise procedure first entails carrying out a diagnostic assessment of gender and generational differences in agricultural management practices and technology adoption and the factors contributing to these differences. These steps (6 total) to developing gender- and youth-responsive agronomic solutions are described with some detail in this SOP. The SOP has been used during the implementation of the integrated survey to ground the Use Cases. Reports from 3 Use cases are shown in the evidence.",Standard Operating Procedures and users guide for developing gender and youth responsive agronomic solutions for Use Cases in Excellence in Agronomy Initiative,4242,13062,2,"Standard Operating Procedures and users guide for developing gender and youth responsive agronomic solutions for Use Cases in Excellence in Agronomy Initiative This Standard Operating Procedure (SOP) is designed for Excellence in Agronomy (EiA) Use Case teams with an interest in developing gender- and youth-responsive agronomic solutions. The SOP is a guide to help Use Case teams move from each step in their workflows when designing, validating, and piloting their Minimum Viable Products (MVPs) to ensure they can develop gender- and youth-responsive agronomic solutions by the end of their Use Case. This stepwise procedure first entails carrying out a diagnostic assessment of gender and generational differences in agricultural management practices and technology adoption and the factors contributing to these differences. These steps (6 total) to developing gender- and youth-responsive agronomic solutions are described with some detail in this SOP. The SOP has been used during the implementation of the integrated survey to ground the Use Cases. Reports from 3 Use cases are shown in the evidence."
"This SOP provides the steps to undertake characterization of farmer typology in Use Cases and generate actionable insights into farm diversity that can be used to increase the impact potential of the Use Cases’ MVP’s and realise inclusive impact across different types of farmers. This characterization is based on the premise that the farm’s biophysical and socio-economic context, as well as the farmer’s capacity, aspirations and interest determine the feasibility and desirability of recommended changes in practices and use of agricultural inputs, as well as access to information channels through which recommendations are disseminated.  ",Standard Operating Procedure for farmer segmentation generates insights into farm diversity for the improvement of agronomic innovations for farmers and design of scaling strategy in Excellence in Agronomy Use Cases,4215,13058,20,"Standard Operating Procedure for farmer segmentation generates insights into farm diversity for the improvement of agronomic innovations for farmers and design of scaling strategy in Excellence in Agronomy Use Cases This SOP provides the steps to undertake characterization of farmer typology in Use Cases and generate actionable insights into farm diversity that can be used to increase the impact potential of the Use Cases’ MVP’s and realise inclusive impact across different types of farmers. This characterization is based on the premise that the farm’s biophysical and socio-economic context, as well as the farmer’s capacity, aspirations and interest determine the feasibility and desirability of recommended changes in practices and use of agricultural inputs, as well as access to information channels through which recommendations are disseminated.  "
"The Standard Operating procedures for cassava harvesting and for measuring cassava root and aboveground biomass provides the step-by-step guide for the measurement of cassava yield and aboveground biomass at plot level and calculation procedures for these parameters. The SOP, reviewed by key agronomists from various CG Centers involved in the Excellence in Agronomy Initiative, codifies the standard procedures to be followed for agronomic gain assessments in field trials developed for researchers and extensionists.",Determination of cassava root yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessments in field trials developed for researchers and extensionists,4201,13055,17,"Determination of cassava root yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessments in field trials developed for researchers and extensionists The Standard Operating procedures for cassava harvesting and for measuring cassava root and aboveground biomass provides the step-by-step guide for the measurement of cassava yield and aboveground biomass at plot level and calculation procedures for these parameters. The SOP, reviewed by key agronomists from various CG Centers involved in the Excellence in Agronomy Initiative, codifies the standard procedures to be followed for agronomic gain assessments in field trials developed for researchers and extensionists."
"The Standard Operating procedures for measuring barley grain yield and aboveground biomass provides the step-by-step guide for the measurement of maize grain yield and aboveground biomass at plot level and calculation procedures for these parameters. The SOP, reviewed by key agronomists from various CG Centers, codifies the standard procedures for agronomic gain assessment in field trials developed for researchers and extensionists.",Measurement of barley grain yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessment in field trials developed for researchers and extensionists,4198,13053,40,"Measurement of barley grain yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessment in field trials developed for researchers and extensionists The Standard Operating procedures for measuring barley grain yield and aboveground biomass provides the step-by-step guide for the measurement of maize grain yield and aboveground biomass at plot level and calculation procedures for these parameters. The SOP, reviewed by key agronomists from various CG Centers, codifies the standard procedures for agronomic gain assessment in field trials developed for researchers and extensionists."
"The Standard Operating procedures for measuring maize grain yield and aboveground biomass provides the step-by-step guide for the measurement of maize grain yield and aboveground biomass at plot level and calculation procedures for these parameters. This SOP, reviewed by agronomists/scientists in various CG Centers, serves as the standard for agronomic gain assessment in field trials. The SOP is developed for researchers and extensionists.",Measurement of maize grain yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessments in field trials developed for researchers and extensionists,4195,13051,40,"Measurement of maize grain yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessments in field trials developed for researchers and extensionists The Standard Operating procedures for measuring maize grain yield and aboveground biomass provides the step-by-step guide for the measurement of maize grain yield and aboveground biomass at plot level and calculation procedures for these parameters. This SOP, reviewed by agronomists/scientists in various CG Centers, serves as the standard for agronomic gain assessment in field trials. The SOP is developed for researchers and extensionists."
"The Standard Operating Procedures for the measurement of rice yield and above ground biomass provides the guidelines and procedures for measuring rice grain yield and aboveground biomass at plot level and how to calculate these parameters. The SOP, developed for researchers and extensionists, is important for the agronomic gain key performance indicator assessment in field trials.", Measurement of rice grain yield and aboveground biomass at maturity by crop cut at plot level: Standard operating procedures for agronomic gain assessment in field trials developed for agronomists,4187,13049,40," Measurement of rice grain yield and aboveground biomass at maturity by crop cut at plot level: Standard operating procedures for agronomic gain assessment in field trials developed for agronomists The Standard Operating Procedures for the measurement of rice yield and above ground biomass provides the guidelines and procedures for measuring rice grain yield and aboveground biomass at plot level and how to calculate these parameters. The SOP, developed for researchers and extensionists, is important for the agronomic gain key performance indicator assessment in field trials."
The Standard Operating Procedures for the measurement of sorghum yield and above ground biomass provides the guidelines and procedures for measuring grain yield and aboveground biomass at plot level and how to calculate these parameters to compute the agronomic gain. This SOP is developed for agronomy researchers and extensionists.,Measurement of sorghum grain yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessment in field trials developed for researchers and extensiosists,4186,13048,40,Measurement of sorghum grain yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessment in field trials developed for researchers and extensiosists The Standard Operating Procedures for the measurement of sorghum yield and above ground biomass provides the guidelines and procedures for measuring grain yield and aboveground biomass at plot level and how to calculate these parameters to compute the agronomic gain. This SOP is developed for agronomy researchers and extensionists.
"Accurate measurement of crop cultivated area is essential for assessing various agronomic gain key performance indicators (KPIs) including yield, profitability, and resource use efficiency. Previous household surveys heavily relied on farmer-reported plot area. However, it has been reported frequently that farmer-reported plot area is often biased due to various reasons. Here, we describe procedure for a GPS-based field area measurement. Module 1 introduces the use of GPS devices as first option, whereas module 2 describes the use of application software on smartphones and tablets as second option. Here, we describe UTM Area Measure, an android application downloadable for free from Google Play Store, as an example. This module describes the procedures for downloading and performing the measurements with this application. There are many other applications, that have functions similar to those of UTM Area Measure. They can also be used to measure field/plot area",Standard Operating Procedures for field area measurement in field trials for agronomic gain key performance indicators assessment developed for researchers and extensionists,4183,13045,20,"Standard Operating Procedures for field area measurement in field trials for agronomic gain key performance indicators assessment developed for researchers and extensionists Accurate measurement of crop cultivated area is essential for assessing various agronomic gain key performance indicators (KPIs) including yield, profitability, and resource use efficiency. Previous household surveys heavily relied on farmer-reported plot area. However, it has been reported frequently that farmer-reported plot area is often biased due to various reasons. Here, we describe procedure for a GPS-based field area measurement. Module 1 introduces the use of GPS devices as first option, whereas module 2 describes the use of application software on smartphones and tablets as second option. Here, we describe UTM Area Measure, an android application downloadable for free from Google Play Store, as an example. This module describes the procedures for downloading and performing the measurements with this application. There are many other applications, that have functions similar to those of UTM Area Measure. They can also be used to measure field/plot area"
"We develop a novel approach for spatial analysis based on databases characterizing sub-national units in various countries using Uber H3 level-6 hexagons—a spatial grid system. Uber's H3 system optimizes spatial data exploration, enhancing geographic information analysis across various data types: crops, livestock, population, and climate. Unique identifiers in H3 hexagons aid data aggregation, outperforming square pixels for broad spatial coverage. Note: Hexagon size may differ from actual pixels like SPAM; values vary by location and underlying pixels. Interpret as important indicators, not absolute values. Our database serves researchers, policymakers, and organizations keen on foresight analysis. We actively promote H3 system integration into existing models, offering documentation, tutorials, and support. Preliminary appraisals ensure system accuracy and reliability. This innovation provides invaluable insights using efficient spatial data analysis for foresight purposes, benefiting stakeholders.",Uber H3 level 6 hexagons Database for characterization of sub national units for key countries,4139,13043,-1,"Uber H3 level 6 hexagons Database for characterization of sub national units for key countries We develop a novel approach for spatial analysis based on databases characterizing sub-national units in various countries using Uber H3 level-6 hexagons—a spatial grid system. Uber's H3 system optimizes spatial data exploration, enhancing geographic information analysis across various data types: crops, livestock, population, and climate. Unique identifiers in H3 hexagons aid data aggregation, outperforming square pixels for broad spatial coverage. Note: Hexagon size may differ from actual pixels like SPAM; values vary by location and underlying pixels. Interpret as important indicators, not absolute values. Our database serves researchers, policymakers, and organizations keen on foresight analysis. We actively promote H3 system integration into existing models, offering documentation, tutorials, and support. Preliminary appraisals ensure system accuracy and reliability. This innovation provides invaluable insights using efficient spatial data analysis for foresight purposes, benefiting stakeholders."
"The Climate Smart Governance (CSG) Dashboard provides accurate data on climate-related hazards, population vulnerability, forecast climate scenarios, sector-relevant data (water, health, agriculture, ecosystem), infrastructure and climate-related projects to support coordinated mid- to long-term adaptation planning aligned to global development goals. Specifically, it can help nations undertake the National Adaptation Planning (NAP) process. The CSG Dashboard has been designed with the NAP process in mind to provide a space in which public- and private sector entities can obtain and use up-to-date data to develop effective, well-coordinated adaptation policies; monitor and evaluate progress towards meeting adaptation goals; collaborate for effective use of resources; and share information on best practices and investment opportunities. CSG uses the Early Warning, Early Action, Early Finance (AWARE) platform engine and benefits from the capabilities of the platform that are validated in the South Asian context.","Climate Smart Governance Dashboard for environmental policy makers to design and implement multi-sectoral, mid- to -long-term adaptation plans benefiting climate vulnerable rural communities",4103,13039,23,"Climate Smart Governance Dashboard for environmental policy makers to design and implement multi-sectoral, mid- to -long-term adaptation plans benefiting climate vulnerable rural communities The Climate Smart Governance (CSG) Dashboard provides accurate data on climate-related hazards, population vulnerability, forecast climate scenarios, sector-relevant data (water, health, agriculture, ecosystem), infrastructure and climate-related projects to support coordinated mid- to long-term adaptation planning aligned to global development goals. Specifically, it can help nations undertake the National Adaptation Planning (NAP) process. The CSG Dashboard has been designed with the NAP process in mind to provide a space in which public- and private sector entities can obtain and use up-to-date data to develop effective, well-coordinated adaptation policies; monitor and evaluate progress towards meeting adaptation goals; collaborate for effective use of resources; and share information on best practices and investment opportunities. CSG uses the Early Warning, Early Action, Early Finance (AWARE) platform engine and benefits from the capabilities of the platform that are validated in the South Asian context."
"Climate variability and its impacts on natural and human systems are increasingly visible across the globe. Despite international attention towards this so-called climate security nexus, understanding of how climate, conflict, and resilience interact is sparse. This is partly due to a lack of sources that combine relevant data. The aim of this concept is to develop a Climate Security Index (CSI) that will allow academics and policymakers to conduct evidence-based research into an imperative global challenge. The CSI would be able to produce an aggregate, comparable, subnational dataset that provides relevant information for academics and policymakers to analyze indicators across the nexus.",Climate Security Index for policy makers and international governmental organizations to compare climate security in different areas and prioritize climate investments that will yield maximum benefits for conflict vulnerable people,4070,13030,23,"Climate Security Index for policy makers and international governmental organizations to compare climate security in different areas and prioritize climate investments that will yield maximum benefits for conflict vulnerable people Climate variability and its impacts on natural and human systems are increasingly visible across the globe. Despite international attention towards this so-called climate security nexus, understanding of how climate, conflict, and resilience interact is sparse. This is partly due to a lack of sources that combine relevant data. The aim of this concept is to develop a Climate Security Index (CSI) that will allow academics and policymakers to conduct evidence-based research into an imperative global challenge. The CSI would be able to produce an aggregate, comparable, subnational dataset that provides relevant information for academics and policymakers to analyze indicators across the nexus."
"Business Process Management unit function to support crops and centers to implement quality management systems in their breeding operations, which will provide a structured path for continuous improvement and create institutional memory of improvements and achievements.  This function will bring in specialized expertise in process management and change management, and implement a common document management system for standard operating protocols and workflows.  The customers of this function will primarily be breeders, farm management staff, lab operations staff, and managers.",Development of an operating model for a new global unit that specializes in process improvement and change management,4003,13026,21,"Development of an operating model for a new global unit that specializes in process improvement and change management Business Process Management unit function to support crops and centers to implement quality management systems in their breeding operations, which will provide a structured path for continuous improvement and create institutional memory of improvements and achievements.  This function will bring in specialized expertise in process management and change management, and implement a common document management system for standard operating protocols and workflows.  The customers of this function will primarily be breeders, farm management staff, lab operations staff, and managers."
"The dashboard enables exploration of a rich set of multi-dimensional information such as type of farming activities, the sources of farm and non-farm income, farmer welfare and food security and gender equity concerns specific to the context, and contributes to the design of more comprehensive and accurate farmer segment characterization.  Using flexible, more comprehensive and accurate farmer segments, higher performing, more targeted climate action projects, programs and policies can be designed and implemented. The information provided by the dashboard can be used by local, regional and national policy makers as well as agricultural and environmental intervention designers operating in the public and private sector.","Objective-Based High-Accuracy Farmer Segmentation Dashboard for Climate Action Project, Program and Policy Designers",3967,13022,0,"Objective-Based High-Accuracy Farmer Segmentation Dashboard for Climate Action Project, Program and Policy Designers The dashboard enables exploration of a rich set of multi-dimensional information such as type of farming activities, the sources of farm and non-farm income, farmer welfare and food security and gender equity concerns specific to the context, and contributes to the design of more comprehensive and accurate farmer segment characterization.  Using flexible, more comprehensive and accurate farmer segments, higher performing, more targeted climate action projects, programs and policies can be designed and implemented. The information provided by the dashboard can be used by local, regional and national policy makers as well as agricultural and environmental intervention designers operating in the public and private sector."
"The biodiversification procedure is a set of steps guiding farmers and governance actors of orchard farming to design more climate-resilient and water efficient farms. It combines state-of-the-art water and crop models, a multi-objective farm system assessment tool, Citrig, with good agricultural and water management practices.  It is complementary to Morocco's Green Generation Strategy, especially to the Conservation Agriculture Plan and contributes to national climate adaptation efforts of the Moroccan government.",Biodiversification as a climate-resilient and water-efficient strategy for orchard farmers in Morocco and Tunisia to benefit rural and peri-urban residents,3949,13020,-1,"Biodiversification as a climate-resilient and water-efficient strategy for orchard farmers in Morocco and Tunisia to benefit rural and peri-urban residents The biodiversification procedure is a set of steps guiding farmers and governance actors of orchard farming to design more climate-resilient and water efficient farms. It combines state-of-the-art water and crop models, a multi-objective farm system assessment tool, Citrig, with good agricultural and water management practices.  It is complementary to Morocco's Green Generation Strategy, especially to the Conservation Agriculture Plan and contributes to national climate adaptation efforts of the Moroccan government."
