description,title,Type,result_code,reporting_link,result_id,pdf_url,Topic,input_text
"This dashboard aims to contribute to Nepal’s capacity to build a digital groundwater monitoring system through a small pilot project in Nepal’s Tarai region. This website is developed as a product in partnership with CSISA-Resilience project and Nepal’s Groundwater Resources Development Board. The dashboard reports the groundwater trends year after year, the Nepal Government/Department of Water Resources and Irrigation (DWRI) has deployed its resources to collect data on ground water level and real time data is projected in the dashboard. Work going on to transfer the dashboard to the DWRI/Nepal Government's system, so that they can operate the dashboard without CIMMYT's assistance.","CIMMYT supports the development of a ground water dashboard in Nepal to enhance decision-making to providing a centralized, accessible platform for real-time data collection, storage, and analysis of groundwater resources",Innovation development,5839.0,https://reporting.cgiar.org/result/result-detail/5839,13207,https://reporting.cgiar.org/reports/result-details/5839?phase=4,5,"This dashboard aims to contribute to Nepal’s capacity to build a digital groundwater monitoring system through a small pilot project in Nepal’s Tarai region. This website is developed as a product in partnership with CSISA-Resilience project and Nepal’s Groundwater Resources Development Board. The dashboard reports the groundwater trends year after year, the Nepal Government/Department of Water Resources and Irrigation (DWRI) has deployed its resources to collect data on ground water level and real time data is projected in the dashboard. Work going on to transfer the dashboard to the DWRI/Nepal Government's system, so that they can operate the dashboard without CIMMYT's assistance. CIMMYT supports the development of a ground water dashboard in Nepal to enhance decision-making to providing a centralized, accessible platform for real-time data collection, storage, and analysis of groundwater resources"
"The RVF tool is a collaborative effort between the One Health Initiative and the Digital Innovation Initiative, designed to analyze climate-epidemic interactions and support decision-making for Rift Valley Fever (RVF) outbreak prevention and control in the Greater Horn of Africa. It includes a decision-support system for managing RVF epizootics, enabling timely and effective responses, and integrates a disease information management system for efficient data compilation and dissemination. The tool enhances disease surveillance in high-risk areas by combining trapping systems with community reports and supports cost-effectiveness studies on RVF prevention strategies, informing contingency planning. It provides meteorological data, including rainfall and precipitation at county and sub-county levels, and incorporates RVF modeling for risk assessment. Additionally, it serves as a key resource for prevention and control efforts, featuring an online news bulletin that enables users to generate customized scientific advisories with geospatial visualizations and professional reports.",A decision support tool for preventing and controlling Rift Valley Fever (RVF) epizootic,Innovation development,5736.0,https://reporting.cgiar.org/result/result-detail/5736,13204,https://reporting.cgiar.org/reports/result-details/5736?phase=4,-1,"The RVF tool is a collaborative effort between the One Health Initiative and the Digital Innovation Initiative, designed to analyze climate-epidemic interactions and support decision-making for Rift Valley Fever (RVF) outbreak prevention and control in the Greater Horn of Africa. It includes a decision-support system for managing RVF epizootics, enabling timely and effective responses, and integrates a disease information management system for efficient data compilation and dissemination. The tool enhances disease surveillance in high-risk areas by combining trapping systems with community reports and supports cost-effectiveness studies on RVF prevention strategies, informing contingency planning. It provides meteorological data, including rainfall and precipitation at county and sub-county levels, and incorporates RVF modeling for risk assessment. Additionally, it serves as a key resource for prevention and control efforts, featuring an online news bulletin that enables users to generate customized scientific advisories with geospatial visualizations and professional reports. A decision support tool for preventing and controlling Rift Valley Fever (RVF) epizootic"
"Climate adaptation processes can be uneven and reinforce inequitable power relations and outcomes. In dairy households of Nandi and Bomet counties in Kenya, despite women’s significant labor contributions, gender norms limit women’s access to resources and decision-making agency. Rather than top-down, one-size-fits-all solutions, adaptation must prioritize flexible, locally led approaches tailored to diverse capacities of households and groups with differential access to resources and opportunities. Our innovation combines two inclusive approaches, scaling with households and champions in groups to enhance women's capacities to learn, lead and scale adaptation. The first approach works with households as part of the Pioneer Positive Deviance (P-PD) approach to scale farmer-led solutions developed by “adaptation pioneer households” (APHs). The second approach works with local champions and grassroots women-led groups to support women's peer learning in collectives and strengthen their leadership capacities. Synergies between these two piloted approaches support equitable scaling of locally led adaptation.",Scaling with households and groups: socially inclusive approaches supporting equitable scaling of locally led adaptation in Kenya's dairy sector,Innovation development,5373.0,https://reporting.cgiar.org/result/result-detail/5373,13194,https://reporting.cgiar.org/reports/result-details/5373?phase=4,8,"Climate adaptation processes can be uneven and reinforce inequitable power relations and outcomes. In dairy households of Nandi and Bomet counties in Kenya, despite women’s significant labor contributions, gender norms limit women’s access to resources and decision-making agency. Rather than top-down, one-size-fits-all solutions, adaptation must prioritize flexible, locally led approaches tailored to diverse capacities of households and groups with differential access to resources and opportunities. Our innovation combines two inclusive approaches, scaling with households and champions in groups to enhance women's capacities to learn, lead and scale adaptation. The first approach works with households as part of the Pioneer Positive Deviance (P-PD) approach to scale farmer-led solutions developed by “adaptation pioneer households” (APHs). The second approach works with local champions and grassroots women-led groups to support women's peer learning in collectives and strengthen their leadership capacities. Synergies between these two piloted approaches support equitable scaling of locally led adaptation. Scaling with households and groups: socially inclusive approaches supporting equitable scaling of locally led adaptation in Kenya's dairy sector"
"This innovation is a new/adapted technology for conservation of Suidae (pig) genetic resources in-vitro based on a stem cell approach.The technology relies of harvesting of somatic cells (such as from an animal’s body), which are then bought back to undifferentiated stem cells, also called induced pluripotent stem cells (iPSCs), in the laboratory. The iPSCs can be stored in-vitro (under liquid nitrogen) and later used to produce any cell type (undifferentiated stem cells are characterized by their ability to produce any cell type in the body). To date we have successfully demonstrated stable lines of local pig somatic cells in culture. The steps in progress include inducing pluripotency, characterizing and demonstrating their differentiation potential, and later using them in assisted reproductive technologies to revive the pig which cells were stored in liquid nitrogen. This technology will be used to conserve tropical pig genetic resources in Uganda, Vietnam, and potentially elsewhere.",Conservation of tropical indigenous pig Suidae genetic resources using the induced pluripotent stem cells (iPSC) derived from somatic cells,Innovation development,5311.0,https://reporting.cgiar.org/result/result-detail/5311,13177,https://reporting.cgiar.org/reports/result-details/5311?phase=4,12,"This innovation is a new/adapted technology for conservation of Suidae (pig) genetic resources in-vitro based on a stem cell approach.The technology relies of harvesting of somatic cells (such as from an animal’s body), which are then bought back to undifferentiated stem cells, also called induced pluripotent stem cells (iPSCs), in the laboratory. The iPSCs can be stored in-vitro (under liquid nitrogen) and later used to produce any cell type (undifferentiated stem cells are characterized by their ability to produce any cell type in the body). To date we have successfully demonstrated stable lines of local pig somatic cells in culture. The steps in progress include inducing pluripotency, characterizing and demonstrating their differentiation potential, and later using them in assisted reproductive technologies to revive the pig which cells were stored in liquid nitrogen. This technology will be used to conserve tropical pig genetic resources in Uganda, Vietnam, and potentially elsewhere. Conservation of tropical indigenous pig Suidae genetic resources using the induced pluripotent stem cells (iPSC) derived from somatic cells"
"The Climate Security Programming Dashboard for Climate Finance (CSPDxCF) is a comprehensive tool designed for initial conflict sensitive assessments and guidance for projects funded by the Green Climate Fund (GCF) along with other climate funds and financial institutions. In the project design phase, CSPD assists Accredited Entities (AEs) and Direct Entities (DEs) in identifying operational risks and entry points for peace-informed action, providing tailored guidance on integrating climate strategies with security programming. Additionally, CSPD enhances AEs and DEs due diligence and risk management, optimizing project design in fragile and conflict-affected settings.",Climate Security Programming Dashboard for Climate Finance (CSPDxCF) to assess conflict sensitivity of proposals for international financial institutions and climate funds,Innovation development,5275.0,https://reporting.cgiar.org/result/result-detail/5275,13172,https://reporting.cgiar.org/reports/result-details/5275?phase=4,23,"The Climate Security Programming Dashboard for Climate Finance (CSPDxCF) is a comprehensive tool designed for initial conflict sensitive assessments and guidance for projects funded by the Green Climate Fund (GCF) along with other climate funds and financial institutions. In the project design phase, CSPD assists Accredited Entities (AEs) and Direct Entities (DEs) in identifying operational risks and entry points for peace-informed action, providing tailored guidance on integrating climate strategies with security programming. Additionally, CSPD enhances AEs and DEs due diligence and risk management, optimizing project design in fragile and conflict-affected settings. Climate Security Programming Dashboard for Climate Finance (CSPDxCF) to assess conflict sensitivity of proposals for international financial institutions and climate funds"
"The methodology is applicable to measures that reduce anaerobic decomposition of organic matter in rice-cropping soils. Such measures include changing the water regime during the cultivation period from continuously to intermittently flooded conditions and/or a shortened period of flooded conditions, using the alternate wetting and drying method, adopting aerobic rice cultivation methods, and switching from transplanted to direct-seeded rice (DSR). This methodology can be applied to large and small-scale or micro-scale projects or PoAs.",Methodology for methane emission reduction by adjusted water management practice in rice cultivation,Innovation development,5195.0,https://reporting.cgiar.org/result/result-detail/5195,13167,https://reporting.cgiar.org/reports/result-details/5195?phase=4,14,"The methodology is applicable to measures that reduce anaerobic decomposition of organic matter in rice-cropping soils. Such measures include changing the water regime during the cultivation period from continuously to intermittently flooded conditions and/or a shortened period of flooded conditions, using the alternate wetting and drying method, adopting aerobic rice cultivation methods, and switching from transplanted to direct-seeded rice (DSR). This methodology can be applied to large and small-scale or micro-scale projects or PoAs. Methodology for methane emission reduction by adjusted water management practice in rice cultivation"
"The Cost-Impact Analysis for Emission Reduction Projects (COMPARE) is a tool developed by UNIQUE Forestry and Land Use in conjunction with International Rice Research Institute. This tool is a Microsoft® Excel workbook with built-in formulas and functions that allow automatic calculation of Cost Benefit Analysis indicators and GHG emissions according to the user's defined inputs._x000D_
_x000D_
This Excel Tool is designed to provide a Cost Benefit Assessment showing the economic and carbon impacts of different rice management practices at a regional level in Vietnam. The tool is designed to cater to different user types and allows full flexibility to adapt the tool for advanced users. It enables the user to estimate the benefits, costs, and greenhouse gas savings in a ""Business As Usual"" (BAU) scenario (broadly reflecting the current mix of rice production methods) and a “Project” scenario (reflecting a desired mix of rice production methods).",Cost-Impact Analysis for Emission Reduction Projects (COMPARE) tool to inform low-emission investment planning for rice-based production systems in Vietnam,Innovation development,5193.0,https://reporting.cgiar.org/result/result-detail/5193,13165,https://reporting.cgiar.org/reports/result-details/5193?phase=4,14,"The Cost-Impact Analysis for Emission Reduction Projects (COMPARE) is a tool developed by UNIQUE Forestry and Land Use in conjunction with International Rice Research Institute. This tool is a Microsoft® Excel workbook with built-in formulas and functions that allow automatic calculation of Cost Benefit Analysis indicators and GHG emissions according to the user's defined inputs._x000D_
_x000D_
This Excel Tool is designed to provide a Cost Benefit Assessment showing the economic and carbon impacts of different rice management practices at a regional level in Vietnam. The tool is designed to cater to different user types and allows full flexibility to adapt the tool for advanced users. It enables the user to estimate the benefits, costs, and greenhouse gas savings in a ""Business As Usual"" (BAU) scenario (broadly reflecting the current mix of rice production methods) and a “Project” scenario (reflecting a desired mix of rice production methods). Cost-Impact Analysis for Emission Reduction Projects (COMPARE) tool to inform low-emission investment planning for rice-based production systems in Vietnam"
"In response to  rangeland degradation, conventional practices involving exotic species like Acacia saligna and Atriplex nummularia have exacerbated ecological imbalances by endangering local flora and fauna and diminishing biodiversity. While developing the Tunisian National Strategy for Advancing Feed and Forage Resources in Tunisia, ICARDA proposed innovative solutions centered on the reintroduction of indigenous species. These were carefully selected to thrive in specific agroecological zones addressing key constraints, and which will be implemented by the Office of Livestock and Pastures and other national institutions. Drivers of loss of indigenous species planting include limited seed availability, lack of awareness, and entrenched institutional behavior. Therefore, our strategies involve genetic source scanning to match indigenous species with environmental conditions, raising awareness about indigenous species' benefits, and efforts to change institutional behavior. Additionally, we are exploring ways to enhance seed collection and multiplication. This approach revitalizes degraded rangelands, contributing significantly to climate change mitigation.",Unlocking indigenous plants as innovative solutions for restoring agro-ecological zones under changing climate in the dry areas,Innovation development,5176.0,https://reporting.cgiar.org/result/result-detail/5176,13162,https://reporting.cgiar.org/reports/result-details/5176?phase=4,-1,"In response to  rangeland degradation, conventional practices involving exotic species like Acacia saligna and Atriplex nummularia have exacerbated ecological imbalances by endangering local flora and fauna and diminishing biodiversity. While developing the Tunisian National Strategy for Advancing Feed and Forage Resources in Tunisia, ICARDA proposed innovative solutions centered on the reintroduction of indigenous species. These were carefully selected to thrive in specific agroecological zones addressing key constraints, and which will be implemented by the Office of Livestock and Pastures and other national institutions. Drivers of loss of indigenous species planting include limited seed availability, lack of awareness, and entrenched institutional behavior. Therefore, our strategies involve genetic source scanning to match indigenous species with environmental conditions, raising awareness about indigenous species' benefits, and efforts to change institutional behavior. Additionally, we are exploring ways to enhance seed collection and multiplication. This approach revitalizes degraded rangelands, contributing significantly to climate change mitigation. Unlocking indigenous plants as innovative solutions for restoring agro-ecological zones under changing climate in the dry areas"
This conceptual framework and guiding questions are developed to serve as a starting point for gender-sensitive analysis and selection of gender-specific and gender-transformative policies targeting Antimicrobial Use and Antimicrobial Resistance and how that affects different gender in agricultural settings.,Exploring Gender Dimensions in the Use and Resistance of Antimicrobials in Agricultural Policy: A Conceptual Framework for Understanding How Antimicrobial Use and Resistance Transmission Affects Different Genders in Agriculture,Innovation development,4985.0,https://reporting.cgiar.org/result/result-detail/4985,13135,https://reporting.cgiar.org/reports/result-details/4985?phase=4,0,This conceptual framework and guiding questions are developed to serve as a starting point for gender-sensitive analysis and selection of gender-specific and gender-transformative policies targeting Antimicrobial Use and Antimicrobial Resistance and how that affects different gender in agricultural settings. Exploring Gender Dimensions in the Use and Resistance of Antimicrobials in Agricultural Policy: A Conceptual Framework for Understanding How Antimicrobial Use and Resistance Transmission Affects Different Genders in Agriculture
"The International Rice Research Institute in collaboration with the SeaSpray Labs is developed and introduced the Application Programming Interface (API) which source-selective and emission-adjusted GHG calculator for rice cropland and that enables the SECTOR tool to connect to other digital tools for calculating greenhouse gas (GHG) emissions. SECTOR offers a high range of flexibility in terms of sourcing emission and activity data, and in selecting a range of scales for aggregation. SECTOR can allow GHG emissions verification and quantification for monetizable carbon credits, as the rice sector carbon market develops in Vietnam. It is now being used by research and practitioners in climate change adaptation and mitigitation.",Application Programming Interface (API) enabling the Source-selective and Emission-adjusted Greenhouse Gas Calculator for Cropland (SECTOR) data tool for rice cropland to better calculate greenhouse gas (GHG) emissions,Innovation development,4931.0,https://reporting.cgiar.org/result/result-detail/4931,13125,https://reporting.cgiar.org/reports/result-details/4931?phase=4,8,"The International Rice Research Institute in collaboration with the SeaSpray Labs is developed and introduced the Application Programming Interface (API) which source-selective and emission-adjusted GHG calculator for rice cropland and that enables the SECTOR tool to connect to other digital tools for calculating greenhouse gas (GHG) emissions. SECTOR offers a high range of flexibility in terms of sourcing emission and activity data, and in selecting a range of scales for aggregation. SECTOR can allow GHG emissions verification and quantification for monetizable carbon credits, as the rice sector carbon market develops in Vietnam. It is now being used by research and practitioners in climate change adaptation and mitigitation. Application Programming Interface (API) enabling the Source-selective and Emission-adjusted Greenhouse Gas Calculator for Cropland (SECTOR) data tool for rice cropland to better calculate greenhouse gas (GHG) emissions"
"Targeting Tools is a web-based Geospatial Information System (GIS) platform that houses a wide range of spatial datasets, both global and country-specific. It provides Land Similarity, Land Suitability, and Land Statistics tools for use on both desktop and web platforms._x000D_
The platform not only facilitates the visualization of datasets stored in its geodatabase but also supports user-uploaded raster format datasets. It enables various types of suitability or risk mapping analyses by combining different datasets._x000D_
Users are given the flexibility to establish their own criteria and thresholds to identify suitable areas. Moreover, these tools can be used to characterise the identified areas through the calculation of zonal statistics.  _x000D_
The tool allows for the integration of multi-dimensional datasets, including bio-physical (e.g. climate, soils, agro-ecology) as well as socio-economic (e.g. poverty, nutritional status, access to markets) data and thus for analyses along the different CGIAR impact areas.","Web Platform ""Targeting Tools"": user-friendly geographical information system tools for identifying suitable land areas",Innovation development,4898.0,https://reporting.cgiar.org/result/result-detail/4898,13118,https://reporting.cgiar.org/reports/result-details/4898?phase=4,6,"Targeting Tools is a web-based Geospatial Information System (GIS) platform that houses a wide range of spatial datasets, both global and country-specific. It provides Land Similarity, Land Suitability, and Land Statistics tools for use on both desktop and web platforms._x000D_
The platform not only facilitates the visualization of datasets stored in its geodatabase but also supports user-uploaded raster format datasets. It enables various types of suitability or risk mapping analyses by combining different datasets._x000D_
Users are given the flexibility to establish their own criteria and thresholds to identify suitable areas. Moreover, these tools can be used to characterise the identified areas through the calculation of zonal statistics.  _x000D_
The tool allows for the integration of multi-dimensional datasets, including bio-physical (e.g. climate, soils, agro-ecology) as well as socio-economic (e.g. poverty, nutritional status, access to markets) data and thus for analyses along the different CGIAR impact areas. Web Platform ""Targeting Tools"": user-friendly geographical information system tools for identifying suitable land areas"
